trial,epoch,winRate,tieRate,lossRate,Defend,Defensive invade, Evasive invade, Hunt
0,0,0.625,0.05,0.325,0.9731029783140257,0.0,0.026897021685974267,0.0
0,2,0.4,0.0,0.6,0.0,1.0,0.0,0.0
0,4,0.35,0.575,0.075,0.0,0.0,0.0,1.0
0,6,0.3,0.0,0.7,0.0,1.0,0.0,0.0
0,8,0.3,0.0,0.7,0.0,0.0,1.0,0.0
0,10,0.525,0.0,0.475,0.0,1.0,0.0,0.0
0,12,0.475,0.0,0.525,0.0,1.0,0.0,0.0
0,14,0.35,0.0,0.65,0.0,1.0,0.0,0.0
0,16,0.325,0.0,0.675,0.0,1.0,0.0,0.0
0,18,0.25,0.0,0.75,0.0,1.0,0.0,0.0
0,20,0.4,0.0,0.6,0.0,1.0,0.0,0.0
0,22,0.575,0.0,0.425,0.0,1.0,0.0,0.0
0,24,0.475,0.0,0.525,0.0,1.0,0.0,0.0
0,26,0.6,0.0,0.4,0.0,1.0,0.0,0.0
1,0,0.3,0.0,0.7,0.0,1.0,0.0,0.0
1,2,0.225,0.0,0.775,0.0,0.0,1.0,0.0
1,4,0.325,0.0,0.675,0.0,1.0,0.0,0.0
1,6,0.3,0.55,0.15,0.0,0.0,0.0,1.0
1,8,0.325,0.0,0.675,0.0,1.0,0.0,0.0
1,10,0.225,0.525,0.25,0.0,0.0,0.0,1.0
1,12,0.325,0.55,0.125,0.0,0.0,0.0,1.0
1,14,0.325,0.625,0.05,0.0,0.0,0.0,1.0
1,16,0.325,0.55,0.125,0.0,0.0,0.0,1.0
1,18,0.3,0.6,0.1,0.0,0.0,0.0,1.0
1,20,0.325,0.575,0.1,0.0,0.0,0.0,1.0
1,22,0.35,0.575,0.075,0.0,0.0,0.0,1.0
1,24,0.275,0.65,0.075,0.0,0.0,0.0,1.0
1,26,0.375,0.525,0.1,0.0,0.0,0.0,1.0
2,0,0.25,0.675,0.075,0.0,0.0,3.136762860727729E-4,0.9996863237139272
2,2,0.0,0.75,0.25,1.0,0.0,0.0,0.0
2,4,0.0,0.9,0.1,1.0,0.0,0.0,0.0
2,6,0.4,0.0,0.6,0.0,1.0,0.0,0.0
2,8,0.05,0.0,0.95,0.0,0.0,1.0,0.0
