trial,epoch,wins
0,0,0.28
0,2,0
0,4,0.26
0,6,0
0,8,0.32
0,10,0
0,12,0.22
0,14,0.28
0,16,0.34
0,18,0.28
0,20,0.32
0,22,0
0,24,0
0,26,0
0,28,0
0,30,0.24
0,32,0.38
0,34,0.24
0,36,0.24
0,38,0.32
0,40,0.36
0,42,0.3
0,44,0.28
0,46,0.22
0,48,0.32
1,0,0.36
1,2,0.2
1,4,0.3
1,6,0.14
1,8,0.94
1,10,0.92
1,12,0.3
1,14,0.84
1,16,0.94
1,18,0.78
1,20,0.92
1,22,0.82
1,24,0.96
1,26,0.84
1,28,0.88
1,30,0.8
1,32,0.86
1,34,0.88
1,36,0.84
1,38,0.8
1,40,0.92
1,42,0.88
1,44,0.94
1,46,0.9
1,48,0.86
2,0,0.92
2,2,0.18
2,4,0.26
2,6,0
2,8,0.86
2,10,0.18
2,12,0.94
2,14,0.94
2,16,0.84
2,18,0.1
2,20,0.14
2,22,0.14
2,24,0.32
2,26,0.9
2,28,0.94
2,30,0.86
2,32,0.9
2,34,0.1
2,36,0.94
2,38,0.94
2,40,0.8
2,42,0.92
2,44,0.88
2,46,0.84
2,48,0.96
3,0,0.9
3,2,0.22
3,4,0.3
3,6,0.18
3,8,0.2
3,10,0.36
3,12,0.9
3,14,0.2
3,16,0.84
3,18,0.88
3,20,0.82
3,22,0.84
3,24,0.94
3,26,0.94
3,28,0.96
3,30,0.88
3,32,0.96
3,34,0.84
3,36,0.96
3,38,0.88
3,40,0.86
3,42,0.9
3,44,0.82
3,46,0.84
3,48,0.82
4,0,0.24
4,2,0.92
4,4,0.94
4,6,0.84
4,8,0.88
4,10,0.84
4,12,0.84
4,14,0.92
4,16,0.18
4,18,0.94
4,20,0.38
4,22,0.34
4,24,0.88
4,26,0.94
4,28,0.94
4,30,0.82
4,32,0.94
4,34,0.14
4,36,0.86
4,38,0.86
4,40,0.86
4,42,0.96
4,44,0.82
4,46,0.92
4,48,0.92
5,0,0.22
5,2,0.9
5,4,0.84
5,6,0.2
5,8,0.3
5,10,0.82
5,12,0.92
5,14,0.82
5,16,0.9
5,18,0.86
5,20,0.88
5,22,0.3
5,24,0.28
5,26,0.2
5,28,0.14
5,30,0.14
5,32,0.24
5,34,0.22
5,36,0.24
5,38,0.22
5,40,0.16
5,42,0.28
5,44,0.18
5,46,0.28
5,48,0.2
