trial,epoch,winRate,tieRate,lossRate,Defend,Defensive invade, Evasive invade, Hunt
0,0,0.275,0.65,0.075,0.19356554107950014,0.01781441106088806,0.0,0.7886200478596118
0,2,0.15,0.0,0.85,0.0,0.0,1.0,0.0
0,4,0.0,0.9,0.1,1.0,0.0,0.0,0.0
0,6,0.375,0.5,0.125,0.0011029411764705882,0.0,0.0,0.9988970588235294
0,8,0.25,0.625,0.125,0.0,0.0,0.0,1.0
0,10,0.375,0.475,0.15,0.0015100037750094375,0.0,0.0,0.9984899962249906
0,12,0.325,0.625,0.05,3.479471120389701E-4,0.0,0.0,0.999652052887961
0,14,0.425,0.55,0.025,0.001783166904422254,0.0,0.0,0.9982168330955777
0,16,0.375,0.475,0.15,0.0018601190476190475,0.0,0.0,0.9981398809523809
0,18,0.425,0.45,0.125,0.00150093808630394,0.0,0.0,0.9984990619136961
0,20,0.325,0.575,0.1,0.0014290818149339049,0.0,0.0,0.998570918185066
0,22,0.35,0.55,0.1,7.493443237167478E-4,0.0,0.0,0.9992506556762832
0,24,0.425,0.5,0.075,0.0014352350197344816,0.0,0.0,0.9985647649802655
0,26,0.375,0.6,0.025,0.0013253810470510272,0.0,0.0,0.998674618952949
1,0,0.0,0.875,0.125,1.0,0.0,0.0,0.0
1,2,0.25,0.0,0.75,0.0,0.0,1.0,0.0
1,4,0.35,0.0,0.65,0.0,1.0,0.0,0.0
1,6,0.375,0.0,0.625,0.0,1.0,0.0,0.0
1,8,0.25,0.6,0.15,0.0,0.0,0.0,1.0
1,10,0.3,0.0,0.7,0.0,0.0,1.0,0.0
1,12,0.175,0.0,0.825,0.0,0.0,1.0,0.0
1,14,0.2,0.0,0.8,0.0,0.0,1.0,0.0
1,16,0.175,0.0,0.825,0.0,0.0,1.0,0.0
1,18,0.175,0.0,0.825,0.0,0.0,1.0,0.0
1,20,0.2,0.0,0.8,0.0,0.0,1.0,0.0
1,22,0.275,0.0,0.725,0.0,0.0,1.0,0.0
1,24,0.15,0.0,0.85,0.0,0.0,1.0,0.0
1,26,0.225,0.0,0.775,0.0,0.0,1.0,0.0
2,0,0.3,0.65,0.05,0.0,0.0,0.0,1.0
2,2,0.325,0.0,0.675,0.0,1.0,0.0,0.0
2,4,0.475,0.0,0.525,0.0,1.0,0.0,0.0
2,6,0.175,0.675,0.15,0.0,0.0,0.0,1.0
2,8,0.175,0.675,0.15,0.0,0.0,0.0,1.0
2,10,0.325,0.575,0.1,0.0,0.0,0.0,1.0
2,12,0.375,0.0,0.625,0.0,1.0,0.0,0.0
2,14,0.3,0.7,0.0,0.0,0.0,0.0,1.0
2,16,0.225,0.775,0.0,0.0,0.0,0.0,1.0
2,18,0.25,0.725,0.025,0.0,0.0,0.0,1.0
2,20,0.375,0.575,0.05,0.0,0.0,0.0,1.0
2,22,0.2,0.7,0.1,0.0,0.0,0.0,1.0
2,24,0.3,0.5,0.2,0.0,0.0,0.0,1.0
2,26,0.325,0.6,0.075,0.0,0.0,0.0,1.0
3,0,0.0,0.75,0.25,1.0,0.0,0.0,0.0
3,2,0.275,0.65,0.075,0.0,0.0,0.0,1.0
3,4,0.225,0.65,0.125,0.0,0.0,0.0,1.0
3,6,0.275,0.65,0.075,0.0,0.0,0.0,1.0
3,8,0.0,0.9,0.1,1.0,0.0,0.0,0.0
3,10,0.35,0.525,0.125,0.0,0.0,0.0,1.0
3,12,0.325,0.0,0.675,0.0,1.0,0.0,0.0
3,14,0.275,0.7,0.025,0.0,0.0,0.0,1.0
3,16,0.3,0.625,0.075,0.0,0.0,0.0,1.0
