trial,epoch,wins
0,0,0
0,2,0.18
0,4,0.94
0,6,0.78
0,8,0.22
0,10,0.2
0,12,0.26
0,14,0.12
0,16,0.88
0,18,0.24
0,20,0.84
0,22,0.9
0,24,0.84
0,26,0.86
0,28,0.82
0,30,0.92
0,32,0.86
0,34,0.84
0,36,0.86
0,38,0.88
0,40,0.88
0,42,0.9
0,44,0.92
0,46,0.78
0,48,0.96
1,0,0.34
1,2,0.96
1,4,0.88
1,6,0.92
1,8,0.86
1,10,0.22
1,12,0.9
1,14,0.18
1,16,0.84
1,18,0.16
1,20,0.18
1,22,0.9
1,24,0.88
1,26,0.34
1,28,0.22
1,30,0.3
1,32,0.24
1,34,0.34
1,36,0.32
1,38,0.22
1,40,0.9
1,42,0.9
1,44,0.9
1,46,0.94
1,48,0.9
2,0,0.88
2,2,0.14
2,4,0.94
2,6,0.86
2,8,0
2,10,0.2
2,12,0.9
2,14,0.92
2,16,0
2,18,0.8
2,20,0.84
2,22,0.86
2,24,0.88
2,26,0.92
2,28,0.88
2,30,0.9
2,32,0.9
2,34,0.88
2,36,0.86
2,38,0.9
2,40,0.92
2,42,0.86
2,44,0.88
2,46,0.82
2,48,0.82
3,0,0.2
3,2,0.3
3,4,0.12
3,6,0
3,8,0.88
3,10,0.86
3,12,0.84
3,14,0.28
3,16,0.92
3,18,0.9
3,20,0.9
3,22,0.82
3,24,0.86
3,26,0.94
3,28,0.86
3,30,0.98
3,32,0.92
3,34,0.82
3,36,0.88
3,38,0.98
3,40,0.94
3,42,0.94
3,44,0.84
3,46,0.88
3,48,0.88
4,0,0
4,2,0.92
4,4,0.86
4,6,0
4,8,0.26
4,10,0.92
4,12,0.92
4,14,0
4,16,0
4,18,0.32
4,20,0.86
4,22,0.84
4,24,0.9
4,26,0.82
4,28,0.92
4,30,0.9
4,32,0.94
4,34,0.82
4,36,0.92
4,38,0.94
4,40,0.86
4,42,0.86
4,44,0.88
4,46,0.88
4,48,0.9
5,0,0.32
5,2,0.2
5,4,0
5,6,0.92
5,8,0.94
5,10,0
5,12,0
5,14,0
5,16,0.92
5,18,0
5,20,0.96
5,22,0.28
5,24,0.88
5,26,0.8
5,28,0.88
5,30,0.86
5,32,0.9
5,34,0.88
5,36,0.88
5,38,0.92
5,40,0.94
5,42,0.86
5,44,0.94
5,46,0.88
5,48,0.9
6,0,0.3
6,2,0.82
6,4,0.3
6,6,0
6,8,0.28
6,10,0.88
6,12,0.84
6,14,0.9
6,16,0.22
6,18,0.84
6,20,0.9
6,22,0.96
6,24,0.86
6,26,0.9
6,28,0.92
6,30,0.8
6,32,0.9
6,34,0.88
6,36,0.84
6,38,0.92
6,40,0.9
6,42,0.94
6,44,0.84
6,46,0.86
6,48,0.88
7,0,0
7,2,0.12
7,4,0.84
7,6,0.9
7,8,0.9
7,10,0
7,12,0
7,14,0.14
7,16,0.8
7,18,0.88
7,20,0.2
7,22,0.12
7,24,0.96
7,26,0.34
7,28,0.28
7,30,0.32
7,32,0.14
7,34,0.36
7,36,0.88
7,38,0.46
7,40,0.22
7,42,0.14
7,44,0.26
7,46,0.32
7,48,0.3
8,0,0
8,2,0.9
8,4,0.16
8,6,0.78
8,8,0.38
8,10,0.18
8,12,0.24
8,14,0.28
8,16,0.9
8,18,0.84
8,20,0.86
8,22,0.9
8,24,0.88
8,26,0.9
8,28,0.8
8,30,0.86
8,32,0.86
8,34,0.76
8,36,0.96
8,38,0.92
8,40,0.88
8,42,0.88
8,44,0.86
8,46,0.92
8,48,0.88
9,0,0
9,2,0.92
9,4,0.26
9,6,0.78
9,8,0.22
9,10,0.82
9,12,0.94
9,14,0.8
9,16,0.9
9,18,0.84
9,20,0.92
9,22,0.84
9,24,0.9
9,26,0.9
9,28,0.9
9,30,0.96
9,32,0.92
9,34,0.86
9,36,0.84
9,38,0.92
9,40,0.92
9,42,0.82
9,44,0.82
9,46,0.94
9,48,0.82
10,0,0.22
10,2,0.96
10,4,0
10,6,0
10,8,0.26
10,10,0.98
10,12,0.9
10,14,0.96
10,16,0.24
10,18,0.26
10,20,0.94
10,22,0.82
10,24,0.9
10,26,0.86
10,28,0.86
10,30,0.82
10,32,0.9
10,34,0.92
10,36,0.94
10,38,0.86
10,40,0.94
10,42,0.88
10,44,0.88
10,46,0.92
10,48,0.88
11,0,0.88
11,2,0.22
11,4,0.9
11,6,0
11,8,0.34
11,10,0.9
11,12,0.88
11,14,0.18
11,16,0.92
11,18,0.9
11,20,0.92
11,22,0.82
11,24,0.88
11,26,0.9
11,28,0.88
11,30,0.82
11,32,0.9
11,34,0.88
11,36,0.84
11,38,0.9
11,40,0.9
11,42,0.84
11,44,0.86
11,46,0.86
11,48,0.84
12,0,0.16
12,2,0.88
12,4,0.32
12,6,0.18
