trial,epoch,wins
0,0,13
0,2,14
0,4,38
0,6,49
0,8,12
0,10,15
0,12,13
0,14,13
0,16,45
0,18,11
0,20,44
0,22,48
0,24,47
0,26,48
0,28,45
0,30,48
0,32,46
0,34,43
0,36,42
0,38,46
0,40,43
0,42,42
0,44,43
0,46,45
0,48,43
1,0,15
1,2,39
1,4,44
1,6,45
1,8,45
1,10,19
1,12,43
1,14,10
1,16,42
1,18,10
1,20,8
1,22,47
1,24,42
1,26,12
1,28,22
1,30,15
1,32,12
1,34,15
1,36,10
1,38,10
1,40,47
1,42,46
1,44,46
1,46,47
1,48,43
1,50,45
1,52,46
1,54,45
1,56,45
1,58,42
1,60,47
1,62,44
1,64,44
1,66,42
1,68,42
1,70,44
1,72,47
1,74,45
