trial,epoch,winRate,tieRate
0,0,0.48,0.14
0,2,0.22,0.0
0,4,0.0,0.84
0,6,0.0,0.8
0,8,0.0,0.88
0,10,0.44,0.0
0,12,0.5,0.0
0,14,0.52,0.0
0,16,0.46,0.0
0,18,0.6,0.0
0,20,0.58,0.0
0,22,0.44,0.0
0,24,0.48,0.0
0,26,0.52,0.0
0,28,0.46,0.0
0,30,0.44,0.0
0,32,0.54,0.0
0,34,0.52,0.0
0,36,0.56,0.0
0,38,0.42,0.0
0,40,0.44,0.0
0,42,0.44,0.0
0,44,0.5,0.0
0,46,0.38,0.0
0,48,0.6,0.0
1,0,0.44,0.0
1,2,0.0,0.86
1,4,0.96,0.04
1,6,0.62,0.0
1,8,0.0,0.82
1,10,0.0,0.86
1,12,0.6,0.0
1,14,0.52,0.0
1,16,0.46,0.0
1,18,0.54,0.0
1,20,0.5,0.0
1,22,0.4,0.0
1,24,0.5,0.0
1,26,0.58,0.0
1,28,0.62,0.0
1,30,0.48,0.0
1,32,0.56,0.0
1,34,0.5,0.0
1,36,0.46,0.0
1,38,0.48,0.0
1,40,0.52,0.0
1,42,0.46,0.0
1,44,0.56,0.0
1,46,0.56,0.0
1,48,0.5,0.0
2,0,0.58,0.0
2,2,0.92,0.06
2,4,0.0,0.94
2,6,0.38,0.0
2,8,0.46,0.0
2,10,0.44,0.0
2,12,0.56,0.0
2,14,0.54,0.0
2,16,0.48,0.0
2,18,0.52,0.0
2,20,0.4,0.0
2,22,0.54,0.0
2,24,0.54,0.0
2,26,0.52,0.0
2,28,0.56,0.0
2,30,0.42,0.0
2,32,0.52,0.0
2,34,0.54,0.0
2,36,0.46,0.0
2,38,0.52,0.0
2,40,0.58,0.0
2,42,0.46,0.0
2,44,0.4,0.0
2,46,0.44,0.0
2,48,0.58,0.0
3,0,0.0,0.88
3,2,0.38,0.0
3,4,0.0,0.78
3,6,0.42,0.0
3,8,0.54,0.0
3,10,0.42,0.0
3,12,0.68,0.0
3,14,0.42,0.0
3,16,0.0,0.86
3,18,0.0,0.96
3,20,0.64,0.0
3,22,0.6,0.0
3,24,0.48,0.0
3,26,0.38,0.0
3,28,0.54,0.0
3,30,0.4,0.0
3,32,0.56,0.0
3,34,0.5,0.0
3,36,0.52,0.0
3,38,0.66,0.0
3,40,0.46,0.0
3,42,0.56,0.0
3,44,0.44,0.0
3,46,0.54,0.0
3,48,0.46,0.0
4,0,0.0,0.9
4,2,0.46,0.0
4,4,0.42,0.0
4,6,0.0,0.88
4,8,0.84,0.1
4,10,0.0,0.88
4,12,0.9,0.1
4,14,0.86,0.14
4,16,0.88,0.12
4,18,0.88,0.1
4,20,0.9,0.1
4,22,0.96,0.02
4,24,0.96,0.04
4,26,0.92,0.06
4,28,0.92,0.06
4,30,0.9,0.06
4,32,0.92,0.06
4,34,0.94,0.04
4,36,0.94,0.06
4,38,0.88,0.1
4,40,0.88,0.1
4,42,0.94,0.06
4,44,0.88,0.06
4,46,0.94,0.04
4,48,0.98,0.02
5,0,0.28,0.0
5,2,0.9,0.04
5,4,0.0,0.96
5,6,0.52,0.0
5,8,0.0,0.84
5,10,0.0,0.8
5,12,0.68,0.0
5,14,0.0,0.88
5,16,0.0,0.92
5,18,0.0,0.88
5,20,0.0,0.86
5,22,0.0,0.9
5,24,0.0,0.92
5,26,0.0,0.88
5,28,0.0,0.86
5,30,0.0,0.86
5,32,0.0,0.82
5,34,0.0,0.82
5,36,0.0,0.88
5,38,0.0,0.9
5,40,0.0,0.9
5,42,0.0,0.96
5,44,0.0,0.84
5,46,0.0,0.8
5,48,0.0,0.9
6,0,0.0,0.92
6,2,0.92,0.04
6,4,0.32,0.0
6,6,0.32,0.0
6,8,0.36,0.0
6,10,0.0,0.84
6,12,0.0,0.92
6,14,0.0,0.88
6,16,0.44,0.0
6,18,0.4,0.0
6,20,0.28,0.0
6,22,0.42,0.0
6,24,0.46,0.0
6,26,0.34,0.0
6,28,0.3,0.0
6,30,0.28,0.0
6,32,0.42,0.0
6,34,0.4,0.0
6,36,0.52,0.0
6,38,0.4,0.0
6,40,0.32,0.0
6,42,0.22,0.0
6,44,0.24,0.0
6,46,0.42,0.0
6,48,0.28,0.0
7,0,0.48,0.0
7,2,0.38,0.0
7,4,0.44,0.0
7,6,0.0,0.82
7,8,0.0,0.92
7,10,0.0,0.88
7,12,0.0,0.94
7,14,0.48,0.0
7,16,0.44,0.0
7,18,0.5,0.0
7,20,0.44,0.0
7,22,0.58,0.0
7,24,0.46,0.0
7,26,0.58,0.0
7,28,0.5,0.0
7,30,0.56,0.0
7,32,0.28,0.0
7,34,0.52,0.0
7,36,0.52,0.0
7,38,0.48,0.0
7,40,0.64,0.0
7,42,0.46,0.0
7,44,0.42,0.0
7,46,0.56,0.0
7,48,0.5,0.0
8,0,0.0,0.82
8,2,0.88,0.08
8,4,0.44,0.0
8,6,0.0,0.82
8,8,0.38,0.0
8,10,0.6,0.0
8,12,0.22,0.0
8,14,0.46,0.0
8,16,0.48,0.0
8,18,0.48,0.0
8,20,0.58,0.0
8,22,0.46,0.0
8,24,0.6,0.0
8,26,0.5,0.0
8,28,0.46,0.0
8,30,0.52,0.0
8,32,0.54,0.0
8,34,0.46,0.0
8,36,0.5,0.0
8,38,0.46,0.0
8,40,0.42,0.0
8,42,0.48,0.0
8,44,0.62,0.0
8,46,0.62,0.0
8,48,0.5,0.0
9,0,0.42,0.0
9,2,0.62,0.0
9,4,0.0,0.94
9,6,0.0,0.88
9,8,0.32,0.0
9,10,0.34,0.0
9,12,0.4,0.0
9,14,0.34,0.0
9,16,0.44,0.0
9,18,0.8,0.16
9,20,0.92,0.06
9,22,0.86,0.14
9,24,0.0,0.92
9,26,0.0,0.88
9,28,0.88,0.08
9,30,0.88,0.12
9,32,0.98,0.0
9,34,0.0,0.92
9,36,0.0,0.84
9,38,0.0,0.92
9,40,0.0,0.88
9,42,0.0,0.92
9,44,0.0,0.92
9,46,0.0,0.9
9,48,0.0,0.86
10,0,0.54,0.0
10,2,0.0,0.92
10,4,0.54,0.0
10,6,0.0,0.88
10,8,0.4,0.0
10,10,0.52,0.0
10,12,0.52,0.0
10,14,0.46,0.0
10,16,0.46,0.0
10,18,0.42,0.0
10,20,0.48,0.0
10,22,0.5,0.0
10,24,0.58,0.0
10,26,0.44,0.0
10,28,0.6,0.0
10,30,0.52,0.0
10,32,0.64,0.0
10,34,0.5,0.0
10,36,0.54,0.0
10,38,0.5,0.0
10,40,0.46,0.0
10,42,0.52,0.0
10,44,0.46,0.0
10,46,0.58,0.0
10,48,0.66,0.0
11,0,0.52,0.0
11,2,0.0,0.88
11,4,0.56,0.0
11,6,0.64,0.0
11,8,0.0,0.82
11,10,0.86,0.1
11,12,0.24,0.0
11,14,0.6,0.0
11,16,0.28,0.0
11,18,0.4,0.0
11,20,0.2,0.0
11,22,0.32,0.0
11,24,0.32,0.0
11,26,0.42,0.0
11,28,0.28,0.0
11,30,0.38,0.0
11,32,0.3,0.0
11,34,0.36,0.0
11,36,0.36,0.0
11,38,0.3,0.0
11,40,0.42,0.0
11,42,0.26,0.0
11,44,0.44,0.0
11,46,0.38,0.0
11,48,0.26,0.0
12,0,0.0,0.86
12,2,0.44,0.0
12,4,0.0,0.84
12,6,0.92,0.06
12,8,0.0,0.9
12,10,0.0,0.86
12,12,0.0,0.96
12,14,0.92,0.06
12,16,0.0,0.86
12,18,0.8,0.16
12,20,0.0,0.78
12,22,0.0,0.94
12,24,0.0,0.88
12,26,0.0,0.82
12,28,0.0,0.94
12,30,0.0,0.76
12,32,0.0,0.88
12,34,0.0,0.86
12,36,0.0,0.8
12,38,0.0,0.84
12,40,0.0,0.84
12,42,0.0,0.8
12,44,0.0,0.86
12,46,0.0,0.8
12,48,0.0,0.96
13,0,0.88,0.12
13,2,0.42,0.0
13,4,0.0,0.94
13,6,0.48,0.0
13,8,0.0,0.9
13,10,0.0,0.96
13,12,0.0,0.74
13,14,0.58,0.0
13,16,0.52,0.0
13,18,0.0,0.9
13,20,0.0,0.8
13,22,0.0,0.92
13,24,0.0,0.88
13,26,0.0,0.9
13,28,0.0,0.88
13,30,0.0,0.84
13,32,0.0,0.94
13,34,0.0,0.94
13,36,0.0,0.9
13,38,0.0,0.74
13,40,0.0,0.9
13,42,0.0,0.92
13,44,0.0,0.88
13,46,0.0,0.92
13,48,0.0,0.94
14,0,0.56,0.0
14,2,0.4,0.0
14,4,0.46,0.0
14,6,0.52,0.0
14,8,0.0,0.82
14,10,0.0,0.86
14,12,0.0,0.9
14,14,0.94,0.04
14,16,0.94,0.06
14,18,0.96,0.04
14,20,0.86,0.14
14,22,0.84,0.14
14,24,0.36,0.0
14,26,0.34,0.0
14,28,0.92,0.06
14,30,0.38,0.0
14,32,0.38,0.0
14,34,0.34,0.0
14,36,0.46,0.0
14,38,0.32,0.0
14,40,0.44,0.0
14,42,0.36,0.0
14,44,0.4,0.0
14,46,0.32,0.0
14,48,0.36,0.0
15,0,0.24,0.0
15,2,0.52,0.0
15,4,0.58,0.0
15,6,0.28,0.0
15,8,0.4,0.0
15,10,0.0,0.88
15,12,0.4,0.0
15,14,0.42,0.0
15,16,0.4,0.0
15,18,0.34,0.0
15,20,0.18,0.0
15,22,0.48,0.0
15,24,0.36,0.0
15,26,0.34,0.0
15,28,0.24,0.0
15,30,0.48,0.0
15,32,0.36,0.0
15,34,0.4,0.0
15,36,0.46,0.0
15,38,0.36,0.0
15,40,0.28,0.0
15,42,0.38,0.0
15,44,0.18,0.0
15,46,0.42,0.0
15,48,0.18,0.0
16,0,0.86,0.1
16,2,0.52,0.0
16,4,0.0,0.88
16,6,0.34,0.0
16,8,0.0,0.88
16,10,0.0,0.94
16,12,0.0,0.88
16,14,0.9,0.08
16,16,0.88,0.12
