trial,epoch,winRate,tieRate,lossRate,Defend,Defensive invade, Evasive invade, Hunt
0,0,0.225,0.0,0.775,0.0,0.0,0.9754098360655737,0.02459016393442623
0,2,0.275,0.0,0.725,0.0,1.0,0.0,0.0
0,4,0.075,0.0,0.925,0.0,0.0,1.0,0.0
0,6,0.0,0.975,0.025,0.998090835473993,1.98424402983874E-4,0.0,0.0017107401230231298
0,8,0.35,0.0,0.65,0.0,1.0,0.0,0.0
0,10,0.175,0.0,0.825,0.0,0.0,1.0,0.0
0,12,0.275,0.0,0.725,0.0,0.0,1.0,0.0
0,14,0.15,0.0,0.85,0.0,0.0,1.0,0.0
0,16,0.225,0.0,0.775,0.0,0.0,1.0,0.0
0,18,0.25,0.0,0.75,0.0,0.0,1.0,0.0
0,20,0.175,0.0,0.825,0.0,0.0,1.0,0.0
0,22,0.15,0.0,0.85,0.0,0.0,1.0,0.0
0,24,0.275,0.0,0.725,0.0,0.0,1.0,0.0
0,26,0.3,0.0,0.7,0.0,0.0,1.0,0.0
1,0,0.325,0.0,0.675,0.0,0.0,1.0,0.0
1,2,0.425,0.0,0.575,0.0,1.0,0.0,0.0
1,4,0.0,0.875,0.125,1.0,0.0,0.0,0.0
1,6,0.425,0.0,0.575,0.0,1.0,0.0,0.0
1,8,0.175,0.0,0.825,0.0,0.0,1.0,0.0
1,10,0.5,0.0,0.5,0.0,1.0,0.0,0.0
1,12,0.3,0.0,0.7,0.0,1.0,0.0,0.0
1,14,0.475,0.0,0.525,0.0,1.0,0.0,0.0
1,16,0.375,0.0,0.625,0.0,1.0,0.0,0.0
1,18,0.25,0.0,0.75,0.0,1.0,0.0,0.0
1,20,0.35,0.0,0.65,0.0,1.0,0.0,0.0
1,22,0.35,0.0,0.65,0.0,1.0,0.0,0.0
1,24,0.55,0.0,0.45,0.0,1.0,0.0,0.0
1,26,0.4,0.0,0.6,0.0,1.0,0.0,0.0
2,0,0.35,0.65,0.0,3.2509752925877764E-4,0.0,0.0,0.9996749024707412
2,2,0.275,0.0,0.725,0.0,0.0,1.0,0.0
2,4,0.3,0.0,0.7,0.0,1.0,0.0,0.0
2,6,0.0,0.975,0.025,1.0,0.0,0.0,0.0
2,8,0.525,0.0,0.475,0.0,1.0,0.0,0.0
2,10,0.325,0.0,0.675,0.0,1.0,0.0,0.0
2,12,0.425,0.0,0.575,0.0,1.0,0.0,0.0
2,14,0.4,0.0,0.6,0.0,1.0,0.0,0.0
2,16,0.425,0.0,0.575,0.0,1.0,0.0,0.0
2,18,0.45,0.0,0.55,0.0,1.0,0.0,0.0
2,20,0.175,0.0,0.825,0.0,1.0,0.0,0.0
2,22,0.25,0.0,0.75,0.0,1.0,0.0,0.0
2,24,0.4,0.0,0.6,0.0,1.0,0.0,0.0
2,26,0.4,0.0,0.6,0.0,1.0,0.0,0.0
3,0,0.275,0.625,0.1,0.0,0.0,0.0,1.0
3,2,0.425,0.5,0.075,0.0,0.0,0.0,1.0
3,4,0.35,0.575,0.075,0.0,0.0,0.0,1.0
3,6,0.225,0.675,0.1,0.0,0.0,0.0,1.0
3,8,0.35,0.0,0.65,0.0,1.0,0.0,0.0
3,10,0.15,0.0,0.85,0.0,0.0,1.0,0.0
3,12,0.375,0.0,0.625,0.0,1.0,0.0,0.0
3,14,0.175,0.0,0.825,0.0,0.0,1.0,0.0
3,16,0.175,0.0,0.825,0.0,0.0,1.0,0.0
3,18,0.275,0.0,0.725,0.0,0.0,1.0,0.0
3,20,0.15,0.0,0.85,0.0,0.35294117647058826,0.6470588235294118,0.0
3,22,0.125,0.0,0.875,0.0,0.37254901960784315,0.6274509803921569,0.0
3,24,0.275,0.0,0.725,0.0,0.3492063492063492,0.6507936507936508,0.0
3,26,0.225,0.0,0.775,0.0,0.0,1.0,0.0
4,0,0.05,0.0,0.95,0.0,0.0,1.0,0.0
4,2,0.3,0.6,0.1,0.0,0.0,0.0,1.0
4,4,0.175,0.0,0.825,0.0,0.0,1.0,0.0
4,6,0.275,0.0,0.725,0.0,0.0,1.0,0.0
4,8,0.0,0.9,0.1,1.0,0.0,0.0,0.0
4,10,0.0,0.775,0.225,1.0,0.0,0.0,0.0
4,12,0.0,0.825,0.175,1.0,0.0,0.0,0.0
4,14,0.375,0.0,0.625,0.0,1.0,0.0,0.0
4,16,0.375,0.0,0.625,0.0,1.0,0.0,0.0
4,18,0.35,0.0,0.65,0.0,1.0,0.0,0.0
4,20,0.4,0.0,0.6,0.0,1.0,0.0,0.0
4,22,0.375,0.0,0.625,0.0,1.0,0.0,0.0
4,24,0.425,0.0,0.575,0.0,1.0,0.0,0.0
4,26,0.425,0.0,0.575,0.0,1.0,0.0,0.0
5,0,0.0,0.875,0.125,1.0,0.0,0.0,0.0
5,2,0.475,0.0,0.525,0.0,1.0,0.0,0.0
5,4,0.4,0.0,0.6,0.0,1.0,0.0,0.0
5,6,0.425,0.0,0.575,0.0,1.0,0.0,0.0
5,8,0.275,0.0,0.725,0.0,1.0,0.0,0.0
5,10,0.35,0.0,0.65,0.0,1.0,0.0,0.0
5,12,0.45,0.0,0.55,0.0,1.0,0.0,0.0
5,14,0.45,0.0,0.55,0.0,1.0,0.0,0.0
5,16,0.35,0.0,0.65,0.0,1.0,0.0,0.0
5,18,0.475,0.0,0.525,0.0,1.0,0.0,0.0
5,20,0.325,0.0,0.675,0.0,1.0,0.0,0.0
5,22,0.45,0.0,0.55,0.0,1.0,0.0,0.0
5,24,0.2,0.0,0.8,0.0,1.0,0.0,0.0
5,26,0.35,0.0,0.65,0.0,1.0,0.0,0.0
6,0,0.175,0.0,0.825,0.0,0.0,1.0,0.0
6,2,0.325,0.525,0.15,0.0,0.0,0.0,1.0
6,4,0.25,0.625,0.125,0.0,3.2299741602067185E-4,0.0,0.9996770025839793
6,6,0.375,0.0,0.625,0.0,1.0,0.0,0.0
6,8,0.475,0.0,0.525,0.0,1.0,0.0,0.0
6,10,0.4,0.0,0.6,0.0,1.0,0.0,0.0
6,12,0.4,0.0,0.6,0.0,1.0,0.0,0.0
6,14,0.35,0.0,0.65,0.0,1.0,0.0,0.0
6,16,0.35,0.0,0.65,0.0,1.0,0.0,0.0
6,18,0.475,0.0,0.525,0.0,1.0,0.0,0.0
6,20,0.475,0.0,0.525,0.0,1.0,0.0,0.0
6,22,0.325,0.0,0.675,0.0,1.0,0.0,0.0
6,24,0.425,0.0,0.575,0.0,1.0,0.0,0.0
6,26,0.35,0.0,0.65,0.0,1.0,0.0,0.0
7,0,0.125,0.0,0.875,0.0,0.0,1.0,0.0
7,2,0.0,0.9,0.1,1.0,0.0,0.0,0.0
7,4,0.275,0.0,0.725,0.0,1.0,0.0,0.0
7,6,0.0,0.825,0.175,1.0,0.0,0.0,0.0
7,8,0.525,0.0,0.475,0.0,1.0,0.0,0.0
7,10,0.3,0.0,0.7,0.0,1.0,0.0,0.0
7,12,0.35,0.0,0.65,0.0,1.0,0.0,0.0
7,14,0.35,0.0,0.65,0.0,1.0,0.0,0.0
7,16,0.2,0.0,0.8,0.0,0.0,1.0,0.0
7,18,0.45,0.0,0.55,0.0,1.0,0.0,0.0
7,20,0.375,0.0,0.625,0.0,1.0,0.0,0.0
7,22,0.3,0.0,0.7,0.0,1.0,0.0,0.0
7,24,0.325,0.0,0.675,0.0,1.0,0.0,0.0
7,26,0.4,0.0,0.6,0.0,1.0,0.0,0.0
8,0,0.0,0.85,0.15,1.0,0.0,0.0,0.0
8,2,0.175,0.675,0.15,0.0,0.0,0.0,1.0
8,4,0.0,0.775,0.225,1.0,0.0,0.0,0.0
8,6,0.325,0.65,0.025,0.0,0.0,0.0,1.0
8,8,0.35,0.0,0.65,0.0,1.0,0.0,0.0
8,10,0.3,0.0,0.7,0.0,1.0,0.0,0.0
8,12,0.325,0.0,0.675,0.0,1.0,0.0,0.0
8,14,0.375,0.0,0.625,0.0,1.0,0.0,0.0
8,16,0.25,0.0,0.75,0.0,1.0,0.0,0.0
8,18,0.45,0.0,0.55,0.0,1.0,0.0,0.0
8,20,0.375,0.0,0.625,0.0,1.0,0.0,0.0
8,22,0.25,0.0,0.75,0.0,1.0,0.0,0.0
8,24,0.325,0.0,0.675,0.0,1.0,0.0,0.0
8,26,0.325,0.0,0.675,0.0,1.0,0.0,0.0
9,0,0.275,0.525,0.2,0.0,6.966213862765587E-4,0.0,0.9993033786137234
9,2,0.425,0.425,0.15,0.0,0.0,0.0,1.0
9,4,0.0,0.825,0.175,1.0,0.0,0.0,0.0
9,6,0.3,0.625,0.075,0.0,0.0,0.0,1.0
9,8,0.1,0.0,0.9,0.0,0.0,1.0,0.0
9,10,0.4,0.0,0.6,0.0,1.0,0.0,0.0
9,12,0.325,0.6,0.075,0.0,0.0,0.0,1.0
9,14,0.125,0.7,0.175,0.0,0.0,0.0,1.0
9,16,0.325,0.6,0.075,0.0,0.0,0.0,1.0
9,18,0.25,0.625,0.125,0.0,0.0,0.0,1.0
9,20,0.3,0.65,0.05,0.0,0.0,0.0,1.0
9,22,0.275,0.625,0.1,0.0,0.0,0.0,1.0
9,24,0.3,0.5,0.2,0.0,0.0,0.0,1.0
9,26,0.375,0.6,0.025,0.0,0.0,0.0,1.0
10,0,0.425,0.0,0.575,0.0,1.0,0.0,0.0
10,2,0.325,0.625,0.05,0.0,0.0,0.0,1.0
10,4,0.175,0.0,0.825,0.0,0.0,1.0,0.0
10,6,0.325,0.0,0.675,0.0,1.0,0.0,0.0
10,8,0.375,0.6,0.025,0.0,0.0,0.0,1.0
10,10,0.35,0.0,0.65,0.0,1.0,0.0,0.0
10,12,0.475,0.0,0.525,0.0,1.0,0.0,0.0
10,14,0.375,0.0,0.625,0.0,1.0,0.0,0.0
10,16,0.375,0.0,0.625,0.0,1.0,0.0,0.0
10,18,0.5,0.0,0.5,0.0,1.0,0.0,0.0
10,20,0.6,0.0,0.4,0.0,1.0,0.0,0.0
10,22,0.25,0.0,0.75,0.0,1.0,0.0,0.0
10,24,0.325,0.0,0.675,0.0,1.0,0.0,0.0
10,26,0.4,0.0,0.6,0.0,1.0,0.0,0.0
11,0,0.0,0.8,0.2,1.0,0.0,0.0,0.0
11,2,0.0,0.775,0.225,1.0,0.0,0.0,0.0
11,4,0.425,0.0,0.575,0.0,1.0,0.0,0.0
11,6,0.35,0.0,0.65,0.0,1.0,0.0,0.0
11,8,0.325,0.0,0.675,0.0,1.0,0.0,0.0
11,10,0.4,0.0,0.6,0.0,1.0,0.0,0.0
11,12,0.6,0.0,0.4,0.0,1.0,0.0,0.0
11,14,0.55,0.0,0.45,0.0,1.0,0.0,0.0
11,16,0.275,0.0,0.725,0.0,1.0,0.0,0.0
11,18,0.275,0.0,0.725,0.0,1.0,0.0,0.0
11,20,0.25,0.0,0.75,0.0,1.0,0.0,0.0
11,22,0.425,0.0,0.575,0.0,1.0,0.0,0.0
11,24,0.35,0.0,0.65,0.0,1.0,0.0,0.0
11,26,0.25,0.0,0.75,0.0,1.0,0.0,0.0
12,0,0.175,0.0,0.825,0.0,0.0,1.0,0.0
12,2,0.325,0.525,0.15,0.0,0.0,0.0,1.0
12,4,0.0,0.825,0.175,1.0,0.0,0.0,0.0
12,6,0.3,0.0,0.7,0.0,1.0,0.0,0.0
12,8,0.3,0.0,0.7,0.0,1.0,0.0,0.0
12,10,0.325,0.0,0.675,0.0,1.0,0.0,0.0
12,12,0.375,0.0,0.625,0.0,1.0,0.0,0.0
12,14,0.425,0.0,0.575,0.0,1.0,0.0,0.0
12,16,0.3,0.0,0.7,0.0,1.0,0.0,0.0
12,18,0.4,0.0,0.6,0.0,1.0,0.0,0.0
12,20,0.35,0.0,0.65,0.0,1.0,0.0,0.0
12,22,0.4,0.0,0.6,0.0,1.0,0.0,0.0
12,24,0.425,0.0,0.575,0.0,1.0,0.0,0.0
12,26,0.375,0.0,0.625,0.0,1.0,0.0,0.0
13,0,0.0,0.825,0.175,1.0,0.0,0.0,0.0
13,2,0.0,0.825,0.175,1.0,0.0,0.0,0.0
13,4,0.15,0.0,0.85,0.0,0.0,1.0,0.0
13,6,0.225,0.0,0.775,0.0,0.0,1.0,0.0
13,8,0.275,0.625,0.1,0.0,0.0,0.0,1.0
13,10,0.3,0.575,0.125,0.0,0.0,0.0,1.0
13,12,0.45,0.0,0.55,0.0,1.0,0.0,0.0
13,14,0.35,0.0,0.65,0.0,1.0,0.0,0.0
13,16,0.35,0.0,0.65,0.0,1.0,0.0,0.0
13,18,0.5,0.0,0.5,0.0,1.0,0.0,0.0
13,20,0.325,0.0,0.675,0.0,1.0,0.0,0.0
13,22,0.325,0.0,0.675,0.0,1.0,0.0,0.0
13,24,0.4,0.0,0.6,0.0,1.0,0.0,0.0
13,26,0.425,0.0,0.575,0.0,1.0,0.0,0.0
14,0,0.225,0.0,0.775,0.0,0.0,1.0,0.0
14,2,0.0,0.825,0.175,1.0,0.0,0.0,0.0
14,4,0.45,0.0,0.55,0.0,1.0,0.0,0.0
14,6,0.325,0.6,0.075,0.0,0.0,0.0,1.0
14,8,0.0,0.825,0.175,1.0,0.0,0.0,0.0
14,10,0.175,0.0,0.825,0.0,0.0,1.0,0.0
14,12,0.15,0.0,0.85,0.0,0.0,1.0,0.0
14,14,0.2,0.0,0.8,0.0,0.0,1.0,0.0
14,16,0.225,0.0,0.775,0.0,0.0,1.0,0.0
14,18,0.125,0.0,0.875,0.0,0.0,1.0,0.0
14,20,0.2,0.0,0.8,0.0,0.0,1.0,0.0
14,22,0.275,0.0,0.725,0.0,0.0,1.0,0.0
14,24,0.2,0.0,0.8,0.0,0.0,1.0,0.0
14,26,0.175,0.0,0.825,0.0,0.0,1.0,0.0
