trial,epoch,winRate,tieRate,lossRate,Defend,Defensive invade, Evasive invade, Hunt
24,0,0.325,0.0,0.675,0.0,1.0,0.0,0.0
24,2,0.175,0.8,0.025,0.0,0.0,0.0,1.0
24,4,0.275,0.675,0.05,0.0,0.0,0.0,1.0
24,6,0.175,0.8,0.025,0.0,0.0,0.0,1.0
24,8,0.275,0.725,0.0,0.0,0.0,0.0,1.0
24,10,0.25,0.675,0.075,0.0,0.0,0.0,1.0
24,12,0.25,0.675,0.075,0.0,0.0,0.0,1.0
24,14,0.3,0.65,0.05,0.0,0.0,0.0,1.0
24,16,0.15,0.775,0.075,0.0,0.0,0.0,1.0
24,18,0.15,0.775,0.075,0.0,0.0,0.0,1.0
24,20,0.1,0.825,0.075,0.0,0.0,0.0,1.0
24,22,0.25,0.75,0.0,0.0,0.0,0.0,1.0
24,24,0.2,0.725,0.075,0.0,0.0,0.0,1.0
24,26,0.2,0.75,0.05,0.0,0.0,0.0,1.0
25,0,0.0,0.925,0.075,1.0,0.0,0.0,0.0
25,2,0.4,0.0,0.6,0.0,1.0,0.0,0.0
25,4,0.0,0.95,0.05,1.0,0.0,0.0,0.0
25,6,0.0,0.925,0.075,1.0,0.0,0.0,0.0
25,8,0.0,0.975,0.025,1.0,0.0,0.0,0.0
25,10,0.0,0.9,0.1,1.0,0.0,0.0,0.0
25,12,0.2,0.8,0.0,0.0,0.0,0.0,1.0
25,14,0.2,0.8,0.0,0.0,0.0,0.0,1.0
25,16,0.175,0.75,0.075,0.0,0.0,0.0,1.0
25,18,0.175,0.825,0.0,0.0,0.0,0.0,1.0
25,20,0.325,0.675,0.0,0.0,0.0,0.0,1.0
25,22,0.2,0.775,0.025,0.0,0.0,0.0,1.0
25,24,0.225,0.7,0.075,0.0,0.0,0.0,1.0
25,26,0.125,0.85,0.025,0.0,0.0,0.0,1.0
26,0,0.375,0.0,0.625,0.0,1.0,0.0,0.0
26,2,0.3,0.675,0.025,0.0,0.0,0.0,1.0
26,4,0.275,0.725,0.0,0.0,0.0,0.0,1.0
26,6,0.15,0.825,0.025,0.0,0.0,0.0,1.0
26,8,0.2,0.8,0.0,0.0,0.0,0.0,1.0
26,10,0.875,0.0,0.125,0.0,0.0,0.6194926568758344,0.38050734312416556
26,12,0.0,0.925,0.075,1.0,0.0,0.0,0.0
26,14,0.0,0.975,0.025,1.0,0.0,0.0,0.0
26,16,0.0,0.875,0.125,1.0,0.0,0.0,0.0
26,18,0.0,0.925,0.075,1.0,0.0,0.0,0.0
26,20,0.0,0.8,0.2,1.0,0.0,0.0,0.0
26,22,0.0,0.8,0.2,1.0,0.0,0.0,0.0
26,24,0.0,0.775,0.225,1.0,0.0,0.0,0.0
26,26,0.0,0.675,0.325,1.0,0.0,0.0,0.0
