trial,epoch,winRate,tieRate,lossRate,Defend,Defensive invade, Evasive invade, Hunt
0,0,0.3,0.4,0.3,0.40889649272882805,0.035642999714856,2.8514399771884804E-4,0.5551753635585971
0,2,0.4,0.0,0.6,0.0,1.0,0.0,0.0
0,4,0.275,0.525,0.2,0.0,0.0,0.0,1.0
0,6,0.35,0.6,0.05,0.0,0.0,0.0,1.0
0,8,0.3,0.6,0.1,0.0,0.0,0.0,1.0
0,10,0.3,0.6,0.1,0.0,0.0,0.0,1.0
0,12,0.325,0.65,0.025,0.0,0.0,0.0,1.0
0,14,0.275,0.525,0.2,0.0,0.0,0.0,1.0
0,16,0.0,0.8,0.2,1.0,0.0,0.0,0.0
0,18,0.0,0.825,0.175,1.0,0.0,0.0,0.0
0,20,0.0,0.825,0.175,1.0,0.0,0.0,0.0
0,22,0.0,0.875,0.125,1.0,0.0,0.0,0.0
0,24,0.0,0.875,0.125,1.0,0.0,0.0,0.0
0,26,0.0,0.875,0.125,1.0,0.0,0.0,0.0
1,0,0.325,0.525,0.15,0.0,0.0,0.0,1.0
1,2,0.475,0.0,0.525,0.0,1.0,0.0,0.0
1,4,0.0,0.85,0.15,1.0,0.0,0.0,0.0
1,6,0.3,0.575,0.125,0.0,0.0,0.0,1.0
1,8,0.35,0.475,0.175,0.0,0.0,0.0,1.0
1,10,0.375,0.475,0.15,0.0,0.0,0.0,1.0
1,12,0.25,0.575,0.175,0.0,0.0,0.0,1.0
1,14,0.25,0.575,0.175,0.0,0.0,0.0,1.0
1,16,0.475,0.45,0.075,0.0,0.0,0.0,1.0
1,18,0.375,0.55,0.075,0.0,0.0,0.0,1.0
1,20,0.3,0.65,0.05,0.0,0.0,0.0,1.0
1,22,0.25,0.65,0.1,0.0,0.0,0.0,1.0
1,24,0.3,0.65,0.05,0.0,0.0,0.0,1.0
1,26,0.225,0.65,0.125,0.0,0.0,0.0,1.0
2,0,0.0,0.8,0.2,1.0,0.0,0.0,0.0
2,2,0.35,0.6,0.05,0.0,0.0,0.0,1.0
2,4,0.25,0.0,0.75,0.0,0.0,1.0,0.0
2,6,0.325,0.625,0.05,0.0,0.0,0.0,1.0
2,8,0.425,0.55,0.025,0.0,0.0,0.0,1.0
2,10,0.275,0.6,0.125,0.0,0.0,0.0,1.0
2,12,0.25,0.625,0.125,0.0,0.0,0.0,1.0
2,14,0.3,0.575,0.125,0.0,0.0,0.0,1.0
2,16,0.275,0.675,0.05,0.0,0.0,0.0,1.0
2,18,0.3,0.625,0.075,0.0,0.0,0.0,1.0
2,20,0.225,0.7,0.075,0.0,0.0,0.0,1.0
2,22,0.2,0.675,0.125,0.0,0.0,0.0,1.0
2,24,0.325,0.55,0.125,0.0,0.0,0.0,1.0
2,26,0.375,0.625,0.0,0.0,0.0,0.0,1.0
3,0,0.0,0.975,0.025,1.0,0.0,0.0,0.0
3,2,0.45,0.0,0.55,0.0,1.0,0.0,0.0
3,4,0.0,0.8,0.2,1.0,0.0,0.0,0.0
3,6,0.3,0.6,0.1,0.0,0.0,0.0016750418760469012,0.998324958123953
3,8,0.3,0.6,0.1,0.0,0.0,0.0,1.0
3,10,0.0,0.875,0.125,1.0,0.0,0.0,0.0
3,12,0.4,0.525,0.075,0.0,0.0,0.0,1.0
3,14,0.325,0.55,0.125,0.0,0.0,0.0,1.0
3,16,0.225,0.675,0.1,0.0,0.0,0.0,1.0
3,18,0.375,0.55,0.075,0.0,7.24112961622013E-4,0.0,0.999275887038378
3,20,0.175,0.725,0.1,0.0,3.176620076238882E-4,0.0,0.9996823379923762
3,22,0.325,0.6,0.075,0.0,0.0013600816048962938,0.0,0.9986399183951037
3,24,0.35,0.625,0.025,0.0,0.0013490725126475548,0.0,0.9986509274873524
3,26,0.25,0.65,0.1,0.0,3.33000333000333E-4,0.0,0.9996669996669997
4,0,0.175,0.0,0.825,0.0,0.0,1.0,0.0
4,2,0.5,0.0,0.5,0.0,1.0,0.0,0.0
4,4,0.325,0.6,0.075,0.0,0.0,0.0,1.0
4,6,0.3,0.6,0.1,0.0,0.0,0.0,1.0
4,8,0.3,0.6,0.1,0.0,0.0,0.0,1.0
4,10,0.4,0.575,0.025,6.816632583503749E-4,0.0,0.0,0.9993183367416496
4,12,0.3,0.65,0.05,0.0010302197802197802,0.0,0.0,0.9989697802197802
4,14,0.4,0.55,0.05,0.0010795250089960418,0.0,0.0,0.998920474991004
4,16,0.225,0.725,0.05,3.15059861373661E-4,0.0,0.0,0.9996849401386263
4,18,0.35,0.55,0.1,3.35795836131632E-4,0.0,0.0,0.9996642041638684
4,20,0.2,0.7,0.1,3.104625892579944E-4,0.0,0.0,0.999689537410742
4,22,0.35,0.575,0.075,3.4002040122407346E-4,0.0,0.0,0.999659979598776
4,24,0.225,0.675,0.1,6.441223832528181E-4,0.0,0.0,0.9993558776167472
4,26,0.3,0.625,0.075,3.4246575342465754E-4,0.0,0.0,0.9996575342465753
5,0,0.0,0.925,0.075,1.0,0.0,0.0,0.0
5,2,0.0,0.875,0.125,1.0,0.0,0.0,0.0
5,4,0.1,0.0,0.9,0.0,0.0,1.0,0.0
5,6,0.0,0.9,0.1,1.0,0.0,0.0,0.0
5,8,0.325,0.625,0.05,0.0,0.0016463615409944023,0.0,0.9983536384590056
5,10,0.3,0.65,0.05,0.0,3.2948929159802305E-4,0.0,0.999670510708402
5,12,0.3,0.55,0.15,0.0,0.0010452961672473868,0.0,0.9989547038327526
5,14,0.35,0.6,0.05,0.0,0.0013188262446422684,0.0,0.9986811737553577
5,16,0.325,0.625,0.05,0.0,3.098853424233034E-4,0.0,0.9996901146575767
5,18,0.3,0.6,0.1,0.0,3.252032520325203E-4,0.0,0.9996747967479674
5,20,0.3,0.675,0.025,0.0,0.0,0.0,1.0
