trial,epoch,winRate,tieRate
0,0,0.34,0.0
0,2,0.0,0.7
0,4,0.94,0.04
0,6,0.0,0.76
0,8,0.9,0.08
0,10,0.28,0.0
0,12,0.18,0.0
0,14,0.22,0.0
0,16,0.9,0.08
0,18,0.92,0.08
0,20,0.92,0.06
0,22,0.94,0.04
0,24,0.88,0.08
0,26,0.88,0.1
0,28,0.9,0.06
0,30,0.9,0.08
0,32,0.9,0.1
0,34,0.9,0.1
0,36,0.86,0.14
0,38,0.86,0.14
0,40,0.68,0.22
0,42,0.92,0.08
0,44,0.9,0.1
0,46,0.9,0.08
0,48,0.86,0.1
1,0,0.3,0.0
1,2,0.0,0.68
1,4,0.16,0.0
1,6,0.0,0.84
1,8,0.0,0.78
1,10,0.0,0.8
1,12,0.9,0.1
1,14,0.82,0.16
1,16,0.0,0.78
1,18,0.86,0.12
1,20,0.84,0.16
1,22,0.9,0.06
1,24,0.94,0.04
1,26,0.0,0.62
1,28,0.0,0.78
1,30,0.0,0.84
1,32,0.0,0.76
1,34,0.0,0.78
1,36,0.0,0.7
1,38,0.0,0.78
1,40,0.0,0.7
1,42,0.0,0.68
1,44,0.0,0.8
1,46,0.0,0.8
1,48,0.0,0.78
2,0,0.9,0.1
2,2,0.26,0.0
2,4,0.2,0.0
2,6,0.92,0.08
2,8,0.96,0.04
2,10,0.2,0.0
2,12,0.0,0.86
2,14,0.28,0.0
2,16,0.0,0.84
2,18,0.0,0.8
2,20,0.0,0.8
2,22,0.0,0.78
2,24,0.92,0.08
2,26,0.0,0.76
2,28,0.0,0.84
2,30,0.84,0.14
2,32,0.92,0.06
2,34,0.96,0.02
2,36,0.96,0.04
2,38,0.84,0.12
2,40,0.0,0.54
2,42,0.0,0.78
2,44,0.92,0.08
2,46,0.9,0.06
2,48,0.9,0.1
3,0,0.96,0.04
3,2,0.0,0.74
3,4,0.0,0.82
3,6,0.0,0.82
3,8,0.0,0.76
3,10,0.0,0.66
3,12,0.0,0.7
3,14,0.96,0.04
3,16,0.94,0.04
3,18,0.9,0.04
3,20,0.92,0.04
3,22,0.92,0.08
3,24,0.88,0.1
3,26,0.26,0.0
3,28,0.2,0.0
3,30,0.14,0.0
3,32,0.3,0.0
3,34,0.4,0.0
3,36,0.36,0.0
3,38,0.3,0.0
3,40,0.2,0.0
3,42,0.22,0.0
3,44,0.36,0.0
3,46,0.32,0.0
3,48,0.28,0.0
4,0,0.0,0.76
4,2,0.96,0.04
4,4,0.3,0.0
4,6,0.26,0.0
4,8,0.86,0.12
4,10,0.2,0.0
4,12,0.0,0.8
4,14,0.0,0.84
4,16,0.0,0.78
4,18,0.0,0.8
4,20,0.0,0.8
4,22,0.0,0.78
4,24,0.0,0.64
4,26,0.0,0.76
4,28,0.0,0.72
4,30,0.0,0.66
4,32,0.0,0.72
4,34,0.0,0.72
4,36,0.94,0.04
4,38,0.0,0.86
4,40,0.0,0.66
4,42,0.0,0.84
4,44,0.86,0.1
4,46,0.88,0.08
4,48,0.86,0.12
5,0,0.0,0.7
5,2,0.24,0.0
5,4,0.86,0.12
5,6,0.22,0.0
5,8,0.0,0.7
5,10,0.0,0.76
5,12,0.0,0.66
5,14,0.86,0.12
5,16,0.4,0.0
5,18,0.28,0.0
5,20,0.36,0.0
5,22,0.2,0.0
5,24,0.42,0.0
5,26,0.28,0.0
5,28,0.26,0.0
5,30,0.34,0.0
5,32,0.2,0.0
5,34,0.26,0.0
5,36,0.2,0.0
5,38,0.26,0.0
5,40,0.38,0.0
5,42,0.22,0.0
5,44,0.4,0.0
5,46,0.3,0.0
5,48,0.2,0.0
6,0,0.28,0.0
6,2,0.1,0.0
6,4,0.0,0.82
6,6,0.82,0.18
6,8,0.0,0.76
6,10,0.28,0.0
6,12,0.14,0.0
6,14,0.26,0.0
6,16,0.24,0.0
6,18,0.28,0.0
6,20,0.16,0.0
6,22,0.18,0.0
6,24,0.2,0.0
6,26,0.16,0.0
6,28,0.0,0.7
6,30,0.24,0.0
6,32,0.24,0.0
6,34,0.16,0.0
6,36,0.16,0.0
6,38,0.26,0.0
6,40,0.16,0.0
6,42,0.3,0.0
6,44,0.24,0.0
6,46,0.14,0.0
6,48,0.14,0.0
7,0,0.16,0.0
7,2,0.22,0.0
7,4,0.94,0.04
7,6,0.22,0.0
7,8,0.16,0.0
7,10,0.24,0.0
7,12,0.34,0.0
7,14,0.0,0.76
7,16,0.22,0.0
7,18,0.28,0.0
7,20,0.22,0.0
7,22,0.22,0.0
7,24,0.22,0.0
7,26,0.18,0.0
7,28,0.18,0.0
7,30,0.22,0.0
7,32,0.12,0.0
7,34,0.22,0.0
7,36,0.18,0.0
7,38,0.1,0.0
7,40,0.18,0.0
7,42,0.28,0.0
7,44,0.22,0.0
7,46,0.08,0.0
7,48,0.16,0.0
8,0,0.16,0.0
8,2,0.2,0.0
8,4,0.9,0.1
8,6,0.24,0.0
8,8,0.22,0.0
8,10,0.16,0.0
8,12,0.34,0.0
8,14,0.24,0.0
8,16,0.38,0.0
8,18,0.3,0.0
8,20,0.38,0.0
8,22,0.38,0.0
8,24,0.36,0.0
8,26,0.22,0.0
8,28,0.24,0.0
8,30,0.32,0.0
8,32,0.34,0.0
8,34,0.32,0.0
8,36,0.2,0.0
8,38,0.26,0.0
8,40,0.3,0.0
8,42,0.24,0.0
8,44,0.26,0.0
8,46,0.28,0.0
8,48,0.18,0.0
9,0,0.88,0.12
9,2,0.0,0.78
9,4,0.94,0.06
9,6,0.0,0.68
9,8,0.3,0.0
9,10,0.0,0.74
9,12,0.88,0.1
9,14,0.0,0.86
9,16,0.0,0.76
9,18,0.0,0.8
9,20,0.0,0.72
9,22,0.0,0.74
9,24,0.0,0.82
9,26,0.0,0.76
9,28,0.0,0.7
9,30,0.0,0.62
9,32,0.0,0.66
9,34,0.0,0.8
9,36,0.0,0.74
9,38,0.0,0.8
9,40,0.0,0.68
9,42,0.0,0.78
9,44,0.0,0.74
9,46,0.0,0.68
9,48,0.0,0.74
10,0,0.94,0.04
10,2,0.24,0.0
10,4,0.0,0.74
10,6,0.0,0.78
10,8,0.26,0.0
10,10,0.0,0.76
10,12,0.0,0.72
10,14,0.0,0.7
10,16,0.0,0.7
10,18,0.0,0.78
10,20,0.0,0.9
10,22,0.0,0.78
10,24,0.0,0.74
10,26,0.0,0.78
10,28,0.0,0.74
10,30,0.0,0.66
10,32,0.0,0.78
10,34,0.0,0.78
10,36,0.0,0.82
10,38,0.0,0.74
10,40,0.0,0.76
10,42,0.0,0.76
10,44,0.0,0.8
10,46,0.0,0.76
10,48,0.0,0.82
