trial,epoch,winRate,tieRate,lossRate,Defend,Defensive invade, Evasive invade, Hunt
0,0,0.125,0.0,0.875,0.0,0.0,0.9338842975206612,0.06611570247933884
0,2,0.225,0.75,0.025,0.0,0.0,0.0,1.0
0,4,0.0,0.975,0.025,1.0,0.0,0.0,0.0
0,6,0.0,0.925,0.075,1.0,0.0,0.0,0.0
0,8,0.0,0.9,0.1,1.0,0.0,0.0,0.0
0,10,0.0,0.925,0.075,1.0,0.0,0.0,0.0
0,12,0.0,0.975,0.025,1.0,0.0,0.0,0.0
0,14,0.0,0.975,0.025,1.0,0.0,0.0,0.0
0,16,0.0,0.95,0.05,1.0,0.0,0.0,0.0
0,18,0.0,0.925,0.075,1.0,0.0,0.0,0.0
0,20,0.0,0.975,0.025,1.0,0.0,0.0,0.0
0,22,0.0,0.75,0.25,1.0,0.0,0.0,0.0
0,24,0.0,0.825,0.175,1.0,0.0,0.0,0.0
0,26,0.0,0.775,0.225,1.0,0.0,0.0,0.0
0,28,0.0,0.825,0.175,1.0,0.0,0.0,0.0
0,30,0.0,0.75,0.25,1.0,0.0,0.0,0.0
0,32,0.0,0.725,0.275,1.0,0.0,0.0,0.0
0,34,0.0,0.75,0.25,1.0,0.0,0.0,0.0
0,36,0.0,0.775,0.225,1.0,0.0,0.0,0.0
0,38,0.025,0.8,0.175,0.9964377178287409,0.0,0.0,0.0035622821712591223
0,40,0.0,0.875,0.125,0.9960076757564154,0.0,0.0,0.003992324243584672
0,42,0.0,0.85,0.15,0.9962938654868232,0.0,0.0,0.003706134513176857
0,44,0.0,0.775,0.225,0.996357596139052,0.0,0.0,0.0036424038609480926
0,46,0.0,0.7,0.3,0.9955668846281724,0.0,0.0,0.004433115371827552
0,48,0.0,0.85,0.15,0.9959953019985501,0.0,0.0,0.004004698001449922
0,50,0.0,0.75,0.25,0.9959364049543767,0.0,0.0,0.004063595045623287
1,0,0.2,0.0,0.8,0.0,0.0,1.0,0.0
1,2,0.25,0.0,0.75,0.0,1.0,0.0,0.0
1,4,0.3,0.675,0.025,6.291286568103177E-4,0.0,0.0,0.9993708713431897
1,6,0.2,0.8,0.0,0.0,0.0,0.0,1.0
1,8,0.15,0.825,0.025,0.0,0.0,0.0,1.0
1,10,0.125,0.825,0.05,0.0,0.0,0.0,1.0
1,12,0.15,0.825,0.025,0.0,0.0,0.0,1.0
1,14,0.1,0.85,0.05,0.0,0.0,0.0,1.0
